Player;Team;Wins;Losses;KDA;Kill;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Shanghai_Result
iG.Xxs;iG.Vitality;8;6;2.94;4;3.86;7.36;80.5;3;328;339;5;1;CN;0
Vega.No[o]ne-?;Vega Squadron;7;7;6.53;6.5;2.43;9.36;283.14;12.57;536;509;1;1;EU;0
Polarity.9pasha;Vega Squadron;7;7;5.33;5;2.36;7.57;311.36;12.29;533;507;2;1;EU;0
Vega.Mag;Vega Squadron;7;7;4.45;2.86;2.71;9.21;257.93;3.93;479;450;3;1;EU;0
Vega.Solo;Vega Squadron;7;7;3.42;2.64;3.43;9.07;93.14;3.07;292;310;4;1;EU;0
Vega.CeMaTheSlayeR;Vega Squadron;7;7;2.87;2.07;3.79;8.79;82;2.79;273;303;5;1;EU;0
Rave.Jeyo;Team Archon;10;10;4.48;6.75;3.1;7.15;343.1;7.3;541;466;1;1;AM;13
DC.Moo;Team Archon;10;10;3.78;3.9;3.7;10.1;178.9;4.5;353;353;2;1;AM;13
Fire.`whiteBeard;Team Archon;10;10;2.83;3.2;4.9;10.65;58.45;1.9;271;286;3;1;AM;13
Archon.monkeys-forever;Team Archon;10;10;2.67;5.85;5;7.5;256.75;10.55;462;459;4;1;AM;13
ENS.FLUFFNSTUFF;Team Archon;10;10;2.01;2.05;4.95;7.9;42.8;1.3;234;222;5;1;AM;13
DC.Resolut1on;Team Empire;8;8;5.02;7.75;3.5;9.81;248.81;14.88;560;551;1;1;EU;0
XBOCT;Team Empire;8;8;3.33;5.25;4.31;9.13;233.25;13.44;508;512;2;1;EU;0
TSpirit.Funn1k;Team Empire;8;8;2.6;4.63;5.44;9.5;184.5;5.94;430;423;3;1;EU;0
VP.Nofear;Team Empire;8;8;1.88;2.19;6.13;9.31;61.06;1.13;283;264;4;1;EU;0
VP.ALOHADANCE;Team Empire;8;8;1.82;2.81;6.88;9.69;57.44;2.5;287;307;5;1;EU;0
Alliance.Lod[A].HyperX;Alliance;7;4;5.23;7.45;3.64;11.55;412.45;11.64;591;538;1;2;EU;7
Alliance.s4;Alliance;7;4;3.94;5.73;4.64;12.55;211.45;7.55;429;493;2;2;EU;7
Alliance.AdmiralBulldog;Alliance;7;4;3.88;5.36;4.45;11.91;282.45;9.91;485;451;3;2;EU;7
Alliance.EGM;Alliance;7;4;2.7;2.64;5.18;11.36;75.36;1.73;277;312;4;2;EU;7
Alliance.Akke;Alliance;7;4;2.7;4.64;4.82;8.36;101.18;2.91;296;290;5;2;EU;7
Taring.YamateH;Taring^MY;6;6;5.73;7.08;3.42;12.5;246.58;10.5;529;574;1;1;SEA;0
Taring.ling;Taring^MY;6;6;3.95;6.33;4.83;12.75;91.58;2;326;350;2;1;SEA;0
Ben;Taring^MY;6;6;3.91;6.83;4.58;11.08;278.5;11.92;536;543;3;1;SEA;0
Ice;Taring^MY;6;6;2.98;2.92;5;12;150.25;4.08;349;370;4;1;SEA;0
Fnatic.343;Taring^MY;6;6;2.37;3.58;6.5;11.83;37.58;1.33;266;283;5;1;SEA;0
OG.Miracle-;OG Dota2;8;4;4.29;7.67;2.92;4.83;354.25;25;648;599;1;2;EU;8
OG.Cr1t;OG Dota2;8;4;2.5;2.42;5;10.08;58.83;0.83;287;319;2;2;EU;8
OG.N0tail;OG Dota2;8;4;2.48;4;5.08;8.58;188.17;8.08;410;413;3;2;EU;8
OG.Moon;OG Dota2;8;4;2.32;2.58;5;9;184.67;2.83;411;429;4;2;AM;8
OG.Fly;OG Dota2;8;4;2.29;3.17;4.58;7.33;98.17;3;305;306;5;2;EU;8
Na`Vi.Dendi;Natus Vincere;5;3;6.7;6.5;3.38;16.13;169.38;9.38;418;459;1;1;EU;0
Ditya Ra;Natus Vincere;5;3;5.14;11.25;4.5;11.88;346.5;9.13;578;503;2;1;EU;0
Na`Vi.!!! SoNNeikO !!!;Natus Vincere;5;3;3.51;5;5.13;13;117.88;2.38;340;359;3;1;EU;0
Ax.Mo;Natus Vincere;5;3;3.3;5.13;5.88;14.25;113.25;5;352;410;4;1;EU;0
??;Natus Vincere;5;3;2.31;2.88;8.13;15.88;69.5;3.38;301;294;5;1;EU;0
VG.R.NoNo;CDEC.Avengers;7;6;4.74;7.46;3;6.77;314.54;12.31;559;479;1;0;CN;0
driveby;CDEC.Avengers;7;6;4.28;4.38;3.08;8.77;346.23;20.31;566;498;2;0;CN;0
LGD.Sep;CDEC.Avengers;7;6;3.09;3.15;4.31;10.15;63.15;0.77;274;280;3;0;CN;0
asdf;CDEC.Avengers;7;6;2;2.38;6;9.62;67.77;2.77;281;290;4;0;CN;0
CDEC.Y.Victoria;CDEC.Avengers;7;6;1.89;2.23;5;7.23;37.85;1.46;226;247;5;0;CN;0
RoX.KIS.Sedoy;Fantastic.Five';4;4;7.95;10.63;2.5;9.25;328.13;11.5;618;593;1;0;EU;0
633;Fantastic.Five';4;4;5.26;6.13;3.38;11.63;204.75;11.63;440;445;2;0;EU;0
Ghostik;Fantastic.Five';4;4;4;5.38;4.25;11.63;127.75;3.25;364;388;3;0;EU;0
TRN.ROX.yol;Fantastic.Five';4;4;3;2.88;5.13;12.5;63.38;1.5;292;302;4;0;EU;0
