Player,Team,Wins,Losses,KDA,Kill,Death,Assists,LH,DN,GPM,XPM,Shanghai_Result
Komuro Takashi-,iG.Vitality,8.0,6.0,4.58,4.86,3.07,9.21,186.0,11.29,475.0,491.0,0.0
iG.Boboka,iG.Vitality,8.0,6.0,3.83,2.0,3.43,11.14,29.21,3.29,248.0,261.0,0.0
iG.Rong,iG.Vitality,8.0,6.0,3.3,2.43,4.36,11.93,33.0,1.93,244.0,259.0,0.0
iG.Xxs,iG.Vitality,8.0,6.0,2.94,4.0,3.86,7.36,80.5,3.0,328.0,339.0,0.0
Vega.No[o]ne-♥,Vega Squadron,7.0,7.0,6.53,6.5,2.43,9.36,283.14,12.57,536.0,509.0,0.0
Polarity.9pasha,Vega Squadron,7.0,7.0,5.33,5.0,2.36,7.57,311.36,12.29,533.0,507.0,0.0
Vega.Mag,Vega Squadron,7.0,7.0,4.45,2.86,2.71,9.21,257.93,3.93,479.0,450.0,0.0
Vega.Solo,Vega Squadron,7.0,7.0,3.42,2.64,3.43,9.07,93.14,3.07,292.0,310.0,0.0
Vega.CeMaTheSlayeR,Vega Squadron,7.0,7.0,2.87,2.07,3.79,8.79,82.0,2.79,273.0,303.0,0.0
Rave.Jeyo,Team Archon,10.0,10.0,4.48,6.75,3.1,7.15,343.1,7.3,541.0,466.0,13.0
DC.Moo,Team Archon,10.0,10.0,3.78,3.9,3.7,10.1,178.9,4.5,353.0,353.0,13.0
Fire.`whiteBeard,Team Archon,10.0,10.0,2.83,3.2,4.9,10.65,58.45,1.9,271.0,286.0,13.0
Archon.monkeys-forever,Team Archon,10.0,10.0,2.67,5.85,5.0,7.5,256.75,10.55,462.0,459.0,13.0
ENS.FLUFFNSTUFF,Team Archon,10.0,10.0,2.01,2.05,4.95,7.9,42.8,1.3,234.0,222.0,13.0
DC.Resolut1on,Team Empire,8.0,8.0,5.02,7.75,3.5,9.81,248.81,14.88,560.0,551.0,0.0
XBOCT,Team Empire,8.0,8.0,3.33,5.25,4.31,9.13,233.25,13.44,508.0,512.0,0.0
TSpirit.Funn1k,Team Empire,8.0,8.0,2.6,4.63,5.44,9.5,184.5,5.94,430.0,423.0,0.0
VP.Nofear,Team Empire,8.0,8.0,1.88,2.19,6.13,9.31,61.06,1.13,283.0,264.0,0.0
VP.ALOHADANCE,Team Empire,8.0,8.0,1.82,2.81,6.88,9.69,57.44,2.5,287.0,307.0,0.0
Alliance.Lod[A].HyperX,Alliance,7.0,4.0,5.23,7.45,3.64,11.55,412.45,11.64,591.0,538.0,7.0
Alliance.s4,Alliance,7.0,4.0,3.94,5.73,4.64,12.55,211.45,7.55,429.0,493.0,7.0
Alliance.AdmiralBulldog,Alliance,7.0,4.0,3.88,5.36,4.45,11.91,282.45,9.91,485.0,451.0,7.0
Alliance.EGM,Alliance,7.0,4.0,2.7,2.64,5.18,11.36,75.36,1.73,277.0,312.0,7.0
Alliance.Akke,Alliance,7.0,4.0,2.7,4.64,4.82,8.36,101.18,2.91,296.0,290.0,7.0
Taring.YamateH,Taring^MY,6.0,6.0,5.73,7.08,3.42,12.5,246.58,10.5,529.0,574.0,0.0
Taring.ling,Taring^MY,6.0,6.0,3.95,6.33,4.83,12.75,91.58,2.0,326.0,350.0,0.0
Ben,Taring^MY,6.0,6.0,3.91,6.83,4.58,11.08,278.5,11.92,536.0,543.0,0.0
Ice,Taring^MY,6.0,6.0,2.98,2.92,5.0,12.0,150.25,4.08,349.0,370.0,0.0
Fnatic.343,Taring^MY,6.0,6.0,2.37,3.58,6.5,11.83,37.58,1.33,266.0,283.0,0.0
OG.Miracle-,OG Dota2,8.0,4.0,4.29,7.67,2.92,4.83,354.25,25.0,648.0,599.0,8.0
OG.Cr1t,OG Dota2,8.0,4.0,2.5,2.42,5.0,10.08,58.83,0.83,287.0,319.0,8.0
OG.N0tail,OG Dota2,8.0,4.0,2.48,4.0,5.08,8.58,188.17,8.08,410.0,413.0,8.0
OG.Moon,OG Dota2,8.0,4.0,2.32,2.58,5.0,9.0,184.67,2.83,411.0,429.0,8.0
OG.Fly,OG Dota2,8.0,4.0,2.29,3.17,4.58,7.33,98.17,3.0,305.0,306.0,8.0
Na`Vi.Dendi,Natus Vincere,5.0,3.0,6.7,6.5,3.38,16.13,169.38,9.38,418.0,459.0,0.0
Ditya Ra,Natus Vincere,5.0,3.0,5.14,11.25,4.5,11.88,346.5,9.13,578.0,503.0,0.0
Na`Vi.!!! SoNNeikO !!!,Natus Vincere,5.0,3.0,3.51,5.0,5.13,13.0,117.88,2.38,340.0,359.0,0.0
Ax.Mo,Natus Vincere,5.0,3.0,3.3,5.13,5.88,14.25,113.25,5.0,352.0,410.0,0.0
麒麟,Natus Vincere,5.0,3.0,2.31,2.88,8.13,15.88,69.5,3.38,301.0,294.0,0.0
VG.R.NoNo,CDEC.Avengers,7.0,6.0,4.74,7.46,3.0,6.77,314.54,12.31,559.0,479.0,0.0
driveby,CDEC.Avengers,7.0,6.0,4.28,4.38,3.08,8.77,346.23,20.31,566.0,498.0,0.0
LGD.Sep,CDEC.Avengers,7.0,6.0,3.09,3.15,4.31,10.15,63.15,0.77,274.0,280.0,0.0
asdf,CDEC.Avengers,7.0,6.0,2.0,2.38,6.0,9.62,67.77,2.77,281.0,290.0,0.0
