Player;Team;Wins;Losses;KDA;Kills;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Tournament_Result;Changed Teams;Total_Games;New_Team
Empire.Ramzes666;Team Empire;4;5;4,19;6,33;3,56;8,56;369,11;18,44;583;518;1;1;EU;0;1;9;Virtus.pro
Empire.Scandal;Team Empire;4;5;3,51;4,89;4,11;9,56;287,11;12,67;553;463;2;1;EU;0;1;9;DX
Afterlife;Team Empire;4;5;3,65;2,89;3,78;10,89;159,22;1;358;374;3;1;EU;0;1;9;F.R.I.E.N.D.S.
Empire.KingR?!;Team Empire;4;5;2,34;3,67;5,56;9,33;34,22;3,11;262;256;4;1;EU;0;0;9;Team Empire
Empire.Miposhka;Team Empire;4;5;2,53;2;5,22;11,22;31,22;1,11;258;239;5;1;EU;0;0;9;Team Empire
Liquid.MATUMBAMAN;Team Liquid;8;12;4,94;7,55;3,3;8,75;349,5;8,25;592;531;1;2;EU;8;0;20;Team Liquid
Liquid.FATA-;Team Liquid;8;12;3,8;6,2;4,2;9,75;295,2;9,65;575;513;2;2;EU;8;1;20;None
Liquid.MinD_ContRoL;Team Liquid;8;12;3,36;3,4;4,5;11,7;118,75;1,6;327;336;3;2;EU;8;0;20;Team Liquid
Liquid.KuroKy;Team Liquid;8;12;2,79;2,45;5,75;13,6;46,15;0,45;265;275;4;2;EU;8;0;20;Team Liquid
OG.JerAx;Team Liquid;8;12;2,99;2,7;4,95;12,1;63,45;2,85;263;272;5;2;EU;8;1;20;OG Dota2
EG.Arteezy;Team Secret;13;13;5,1;7,88;3,19;8,38;378,31;12,46;612;516;1;0;EU;14;1;26;Evil Geniuses
NP.EternaLEnVy;Team Secret;13;13;4,08;5,58;3,54;8,85;314,31;11,42;505;464;2;0;EU;14;1;26;Team NP
Secret.BuLba;Team Secret;13;13;4,26;3,19;3,85;13,19;164,35;2,85;364;366;3;0;EU;14;1;26;Team Liquid
Secret.Puppey;Team Secret;13;13;2,63;3,12;5,27;10,73;130,15;3,42;314;318;4;0;EU;14;0;26;Team Secret
