Player;Team;Wins;Losses;KDA;Kill;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Frankfurt_Result;Changed_Teams
Secret.Arteezy;Evil Geniuses;10;7;3.99;7.47;4.35;9.88;346.29;10.82;599;587;3;2;AM;3;1
EG.Universe;Evil Geniuses;10;7;3.97;4.88;3.76;10.06;149.59;4.29;376;405;4;2;AM;3;0
EG.ppd;Evil Geniuses;10;7;2.52;1.53;4.65;10.18;48.12;1.29;251;267;5;2;AM;3;0
Alliance.Lod[A].HyperX;Alliance;11;11;3.67;5.18;3.73;8.5;283.95;14.55;515;482;1;1;EU;9;0
Alliance.s4;Alliance;11;11;3.12;6.18;4.68;8.41;214.55;10.73;446;477;2;1;EU;9;1
Alliance.AdmiralBulldog;Alliance;11;11;3;3.91;4.05;8.23;195.82;8;410;413;3;1;EU;9;0
Alliance.Akke;Alliance;11;11;2.27;2.23;4.91;8.91;38.23;2.68;236;239;4;1;EU;9;0
Mynuts;Alliance;11;11;1.86;3.36;6.18;8.14;77.86;2.55;294;302;5;1;EU;9;0
VP.G;Virtus.pro;9;6;4.43;8.2;3.73;8.33;253.93;12.53;521;517;1;2;EU;7;0
Polarity.Lil;Virtus.pro;9;6;3.39;5.33;4.73;10.73;57.8;2;295;311;2;2;EU;7;0
Polarity.DkPhobos;Virtus.pro;9;6;2.91;4.27;5;10.27;118.67;4.27;336;347;3;2;EU;7;0
TSpirit.Illidan Stormrage 46sf;Virtus.pro;9;6;2.9;5;5.33;10.47;173.13;14.73;429;414;4;2;EU;7;0
VP.Fng;Virtus.pro;9;6;2.23;2.53;6.33;11.6;39.6;2.2;249;266;5;2;EU;7;0
TC;Digital Chaos;8;6;4.67;4.43;2.57;7.57;243.36;10.36;476;438;1;1;AM;0;1
Secret.BuLba;Digital Chaos;8;6;4.63;3.14;2.5;8.43;127;5.71;344;325;2;1;AM;0;1
DC.YS;Digital Chaos;8;6;4.21;4.57;2.71;6.86;274.21;14.79;549;498;3;1;AM;0;1
Biryu;Digital Chaos;8;6;2.6;2.64;3.36;6.07;41.07;1.57;254;224;4;1;AM;0;1
EG.Aui_2000;Digital Chaos;8;6;2.58;2.57;3.71;7;64.36;1.71;277;249;5;1;AM;0;1
Liquid.MATUMBAMAN;Team Liquid;7;4;5.25;8.73;3.64;10.36;355.27;11;557;558;1;1;EU;0;1
Liquid.FATA-;Team Liquid;7;4;5.18;10.82;4;9.91;341.82;13;576;565;2;1;EU;0;1
Liquid.MinD_ContRoL;Team Liquid;7;4;3.47;4.09;5;13.27;118.82;4.73;326;347;3;1;EU;0;1
Liquid.KuroKy;Team Liquid;7;4;2.89;3.55;5.55;12.45;49.45;2.64;268;308;4;1;EU;0;1
Liquid.JerAx;Team Liquid;7;4;2.6;3.55;5.64;11.09;54.09;3.09;275;311;5;1;EU;0;1
caca;Elite Wolves PERU;9;6;4.02;3.27;2.8;8;31.67;2.93;251;238;1;1;AM;0;0
Cuy Golden :v;Elite Wolves PERU;9;6;4.02;5.73;3.07;6.6;222.13;19.6;526;496;2;1;AM;0;0
NoT.SmAsH;Elite Wolves PERU;9;6;3.62;5.47;3.47;7.07;170.53;13.47;456;455;3;1;AM;0;0
THIS GENTE;Elite Wolves PERU;9;6;2.51;2.2;3.8;7.33;38.07;3.2;253;241;4;1;AM;0;0
BanG;Elite Wolves PERU;9;6;2.3;2.07;4.4;8.07;98.2;4.93;335;330;5;1;AM;0;0
LGD.Agressif;CDEC Gaming;6;5;5.62;7.45;3.36;11.45;271.36;21.91;532;545;1;2;CN;5;0
CDEC.Q;CDEC Gaming;6;5;4.35;4.45;3.36;10.18;55;2.91;283;280;5;2;CN;5;0
CDEC.Y.Xz;CDEC Gaming;6;5;4.29;3.18;3.73;12.82;140.73;2.27;355;390;3;2;CN;5;0
CDEC.ShiKi;CDEC Gaming;6;5;3.91;7.27;4.27;9.45;192.73;15.09;462;463;2;2;CN;5;0
CDEC.garder;CDEC Gaming;6;5;3.38;2.55;4.36;12.18;39.36;0.82;280;295;4;2;CN;5;0
unknown. ?Atún??;UNKNOWN #####;9;13;3.29;4.91;3.32;6;258.41;16;543;489;1;0;AM;11;0
Infamous.Greedy.MØ;UNKNOWN #####;9;13;2.66;3.91;4.18;7.23;147.18;6.27;370;374;2;0;AM;11;0
unknown.Kotaro.sr4ever;UNKNOWN #####;9;13;2.45;6.05;4.73;5.55;219.82;13.91;476;464;3;0;AM;11;0
Razü kepzal;UNKNOWN #####;9;13;2.22;2.32;5;8.77;44.18;1.82;248;274;4;0;AM;11;0
Infamous.Accelgd;UNKNOWN #####;9;13;1.8;1.45;4.14;6;53.86;1.82;244;247;5;0;AM;11;0
SiG.LaKelz;Signature.Dota2;9;8;3.22;7.94;5.06;8.35;290.35;16.71;546;521;1;1;SEA;0;0
MyPro;Signature.Dota2;9;8;2.95;6.94;5.59;9.53;218.94;8.12;470;489;2;1;SEA;0;0
SiG.aabBAA;Signature.Dota2;9;8;2.59;4.47;6.24;11.71;129.06;7.24;353;371;3;1;SEA;0;0
Jabz;Signature.Dota2;9;8;2.36;3.47;6.53;11.94;42.12;1.06;266;305;4;1;SEA;0;0
Boombell;Signature.Dota2;9;8;2.32;2.41;5.29;9.88;48.47;2.35;261;273;5;1;SEA;0;0
Ben;Team SatuDuaTiga;7;8;4.07;8.47;4.07;8.07;264.33;12.4;497;503;1;1;SEA;0;0
Taring.YamateH;Team SatuDuaTiga;7;8;3.84;7.2;4.27;9.2;350.53;12.33;603;588;2;1;SEA;0;0
Ice;Team SatuDuaTiga;7;8;2.54;3.93;5.6;10.27;154.4;7.2;360;381;3;1;SEA;0;0
Fnatic.343;Team SatuDuaTiga;7;8;2.34;3.2;5.8;10.4;85.53;3.53;302;333;4;1;SEA;0;0
Myrcella.;Team SatuDuaTiga;7;8;2.28;1.8;4.93;9.47;28.8;1.2;223;248;5;1;SEA;0;0
LGD.Maybe;LGD-GAMING;7;7;3.94;7.21;3.79;7.71;302.93;11.29;552;571;1;2;CN;8;0
VG.Sylar;LGD-GAMING;7;7;3.55;6.79;3.93;7.14;293.36;21.14;523;516;2;2;CN;8;0
LGD.MMY!;LGD-GAMING;7;7;2.65;3.64;4.71;8.86;41.93;1.64;254;254;3;2;CN;8;0
VG.rOtk;LGD-GAMING;7;7;2.49;2.14;5;10.29;131.36;3.5;328;344;4;2;CN;8;1
VG.R.ddc;LGD-GAMING;7;7;2.24;1.43;4.43;8.5;64.14;4.29;261;278;5;2;CN;8;1
VG.BurNIng;Vici Gaming;7;6;3.73;6.15;3.92;8.46;218.69;12.69;459;455;1;2;CN;6;1
CDEC.Super;Vici Gaming;7;6;3.56;7.62;4.77;9.38;270;6.62;581;516;2;2;CN;6;0
EHOME.iceiceice;Vici Gaming;7;6;2.84;4.08;5.23;10.77;145.08;6.23;370;402;3;2;CN;6;0
EHOME.Fenrir;Vici Gaming;7;6;2.81;2.31;4.08;9.15;40;2.38;242;253;4;2;CN;6;0
VG.??.Fy;Vici Gaming;7;6;2.41;2.31;5.23;10.31;68.92;3.15;272;296;5;2;CN;6;0
Polarity.9pasha;Vega Squadron;6;8;4.32;6.21;3.57;9.21;260.43;13.36;486;485;1;2;EU;12;0
Vega.No[o]ne-?;Vega Squadron;6;8;3.95;7.36;4.14;9;295.79;16.79;541;536;2;2;EU;12;0
Vega.Mag;Vega Squadron;6;8;3.68;4.07;3.79;9.86;178.43;3.57;375;409;3;2;EU;12;0
Vega.CeMaTheSlayeR;Vega Squadron;6;8;2.54;2.29;5;10.43;50.29;1.21;249;258;4;2;EU;12;0
Vega.Solo;Vega Squadron;6;8;2.38;3.5;6.14;11.14;68;3.07;284;324;5;2;EU;12;0
MVP.MP;MVP Phoenix;7;5;3.56;8.42;4.92;9.08;173.17;15.42;493;503;2;1;SEA;0;1
MVP.March;MVP Phoenix;7;5;3;4.58;6.17;13.92;132.58;2.33;425;431;3;1;SEA;0;0
MVP.QO;MVP Phoenix;7;5;2.8;9.08;6.92;10.25;265;7.67;665;607;1;1;SEA;0;0
MVP.Heen;MVP Phoenix;7;5;2.32;3.33;6.33;11.33;34.42;0.67;274;265;5;1;SEA;0;0
MVP.Febby;MVP Phoenix;7;5;2.22;3.5;7.42;13;38.25;0.42;314;322;4;1;SEA;0;0
Wings.shadow;the wings gaming;6;7;3.93;5.62;3.08;6.46;263.77;23.77;514;538;1;1;CN;0;1
Wings.????;the wings gaming;6;7;3.06;4.77;4.08;7.69;247.31;9.54;554;489;2;1;CN;0;1
Wings.y`;the wings gaming;6;7;2.28;1.85;4.15;7.62;43.08;1.38;239;232;5;1;CN;0;1
????;the wings gaming;6;7;1.95;3.08;6.23;9.08;90.54;5.54;312;312;3;1;CN;0;1
Wings.iceice;the wings gaming;6;7;1.57;3.15;7.15;8.08;66.85;3.46;277;293;4;1;CN;0;1
Mineski FAN GAY;Leviathan';5;4;4.29;8.56;3.78;7.67;328.56;15.22;530;465;1;1;AM;0;1
Shiibbyy;Leviathan';5;4;4.06;6.56;3.78;8.78;298.33;13.11;503;487;2;1;AM;0;1
Newsham;Leviathan';5;4;4;2.89;3.22;10;83.22;1.78;296;335;4;1;AM;0;1
FlyingZebra;Leviathan';5;4;2.39;1.78;4.56;9.11;59.67;1.22;252;268;5;1;AM;0;1
LvT.Jenkins;Leviathan';5;4;1.77;3.11;6.67;8.67;122.78;1.11;313;315;3;1;AM;0;1
iG.qd;DK.Scuderia;5;4;4.03;6.11;3.56;8.22;270.22;20.11;544;564;1;0;CN;0;1
Komuro Takashi-;DK.Scuderia;5;4;2.93;5.22;4.44;7.78;224.78;13.67;485;484;2;0;CN;0;1
iG.Xxs;DK.Scuderia;5;4;2.91;4.44;4.89;9.78;81.11;3.22;355;371;3;0;CN;0;1
iG.Boboka;DK.Scuderia;5;4;2.52;2.11;4.67;9.67;33.89;3;242;241;4;0;CN;0;1
iG.Rong;DK.Scuderia;5;4;2.18;2.33;5.56;9.78;35.89;2.56;247;254;5;0;CN;0;1
Luk;4Hate;4;4;4.74;6.88;3.38;9.13;296.38;9;585;576;1;0;SEA;0;1
FD.Freedom;4Hate;4;4;3.39;3.38;4.13;10.63;86.13;1.25;309;334;4;0;SEA;0;1
BB.NutZ;4Hate;4;4;2.62;3.13;4.63;9;38.75;2.25;247;244;5;0;SEA;0;1
SCYTHE.poloson;4Hate;4;4;2.25;4.75;6.63;10.13;149.13;5.25;383;356;3;0;SEA;0;1
huehue;4Hate;4;4;2.15;4.5;5.13;6.5;237;4.13;473;447;2;0;SEA;0;1
sss;FTD Club b;3;5;4.68;7.25;3.5;9.13;333.63;9.13;525;568;1;0;CN;0;1
qianqian;FTD Club b;3;5;3.95;9;4.88;10.25;279;11.13;508;564;2;0;CN;0;1
Xy;FTD Club b;3;5;2.58;2.88;5.63;11.63;64.75;1;285;335;3;0;CN;0;1
"""chishi";FTD Club b;3;5;2.53;4.38;6.38;11.75;80;3.88;292;310;4;0;CN;0;1
gege;FTD Club b;3;5;2.03;2;4.75;7.63;27.25;1.38;225;239;5;0;CN;0;1
VP.yoky;Team Empire;3;3;4.1;7.33;3.5;7;230.5;13.5;539;517;1;1;EU;0;0
DC.Resolut1on;Team Empire;3;3;3.83;4.5;3.83;10.17;105.83;7.33;358;398;2;1;EU;0;0
VP.Silent;Team Empire;3;3;3.04;5.83;4.33;7.33;183;11.83;470;491;3;1;EU;0;0
VP.ALOHADANCE;Team Empire;3;3;2.12;2.83;7.17;12.33;32.17;4.17;259;290;4;1;EU;0;0
VP.Nofear;Team Empire;3;3;2;3;5.17;7.33;36;1;248;235;5;1;EU;0;1
VB.OmegaPwner;Void Boys;3;5;3.87;5.63;3.75;8.88;208;7.63;420;450;1;1;AM;0;0
PoF.Sneyking;Void Boys;3;5;3.12;5.25;4.13;7.63;313.25;12.63;536;541;2;1;AM;0;1
VB.PatSoul;Void Boys;3;5;2.78;4.5;4.5;8;231.63;18.13;431;477;3;1;AM;0;1
VB.fly;Void Boys;3;5;2.24;3.13;5.63;9.5;62.5;1.5;283;311;4;1;AM;0;1
SHANKS-;Void Boys;3;5;1.63;2.25;5.38;6.5;42.75;2.13;227;242;5;1;AM;0;1
Ditya Ra;Noo Logic Gaming;3;5;3.71;5.63;3.88;8.75;179.75;8.88;457;491;1;0;EU;0;1
Niqua;Noo Logic Gaming;3;5;2.75;3.13;5;10.63;140.5;5.13;367;378;2;0;EU;0;1
Xcalibur;Noo Logic Gaming;3;5;2.4;6;5.88;8.13;198.38;3.63;452;504;3;0;EU;0;1
AF.SsaSpartan;Noo Logic Gaming;3;5;2.17;2.88;5.25;8.5;37.5;3.88;259;273;4;0;EU;0;1
