"Player","Team","Wins","Losses","KDA","Kill","Death","Assists","LH","DN","GPM","XPM","Position","Inv_Status","Region","Tournament_Result","Changed_Teams","Total_Games"
"ESC.syndereN","Escape Gaming",10,6,1.75,2.06,6.94,10.06,39.19,2.81,238,276,5,1,"EU",0,1,16
"DC.YS","EverNovaS",0,6,2.95,3.83,3.5,6.5,150.67,11.33,396,424,1,1,"AM",0,1,6
"^.<","EverNovaS",0,6,2.12,4.33,4.33,4.83,130.83,9.33,379,372,2,1,"AM",0,1,6
"FDL.DeMoN","EverNovaS",0,6,2.03,2,4.83,7.83,98.17,1.5,324,310,3,1,"AM",0,1,6
"PoF.wayto","EverNovaS",0,6,3.31,2.5,2.67,6.33,51.83,1.83,276,277,4,1,"AM",0,1,6
"ENS.FLUFFNSTUFF","EverNovaS",0,6,1.96,1,4.17,7.17,31.83,0.67,231,249,5,1,"AM",0,1,6
"EG.Suma1L","Evil Geniuses",3,6,3.17,5.67,4.56,8.78,254.78,17.67,513,504,1,2,"AM",15,0,9
"EG.Aui_2000","Evil Geniuses",3,6,3.17,4.89,4,7.78,255.33,11.33,498,484,2,2,"AM",15,1,9
"Secret.BuLba","Evil Geniuses",3,6,3.33,3,4.33,11.44,165.56,4.56,386,373,3,2,"AM",15,1,9
"EG.Fear","Evil Geniuses",3,6,2.47,3.22,5.22,9.67,88.44,0.56,313,324,4,2,"AM",15,0,9
"EG.ppd","Evil Geniuses",3,6,1.95,2.11,6.56,10.67,36.89,0.56,229,258,5,2,"AM",15,0,9
"Abed","Execration",6,7,5.03,7,3,8.08,305.08,10.38,590,556,1,1,"SEA",0,1,13
"...","Execration",6,7,2.62,4.92,5,8.15,271.15,10.69,536,511,2,1,"SEA",0,0,13
"TIMS","Execration",6,7,3,2.54,4.54,11.08,108.77,2.92,341,335,3,1,"SEA",0,1,13
"Not today","Execration",6,7,2.36,1.62,5.62,11.62,51.15,1.54,270,273,4,1,"SEA",0,1,13
"Kim0","Execration",6,7,2.52,2.92,4.92,9.46,47.46,4,263,264,5,1,"SEA",0,0,13
"BananaSlamJamma","Exodus",2,4,3.83,6.83,4,8.5,361.17,6.83,648,516,1,0,"AM",0,1,6
"scumbag loser","Exodus",2,4,2.63,3.17,5.33,10.83,233,5.5,428,388,2,0,"AM",0,1,6
"Sovereign","Exodus",2,4,3.39,3.83,3.83,9.17,157.5,0.83,403,385,3,0,"AM",0,1,6
"FlyingZebra","Exodus",2,4,1.83,2.67,6.83,9.83,28.33,0.5,224,248,4,0,"AM",0,1,6
"fROZEN","Exodus",2,4,1.74,1.83,7.67,11.5,21,1.33,215,229,5,0,"AM",0,1,6
"RoX.KIS.Sedoy","FlipSid3 Tactics",4,4,3.79,7,4.25,9.13,278.5,8.5,583,541,1,0,"EU",0,1,8
"tmw","FlipSid3 Tactics",4,4,2.84,5.75,5.5,9.88,212.88,8.25,535,497,2,0,"EU",0,1,8
"Shachlo","FlipSid3 Tactics",4,4,2.45,4.38,4.75,7.25,173.5,3.88,441,431,3,0,"EU",0,1,8
"VANSKOR","FlipSid3 Tactics",4,4,2.36,2.13,6.25,12.63,40.25,0.25,289,299,4,0,"EU",0,1,8
"mmmmmmm...","FlipSid3 Tactics",4,4,2.2,2.38,5.63,10,34.75,2.88,262,266,5,0,"EU",0,1,8
"Fnatic.MuShi-","Fnatic",7,8,3.89,4.47,3.8,10.33,305.27,15.67,533,521,1,2,"SEA",5,0,15
"Fnatic.MidOne","Fnatic",7,8,3.81,6.47,4.2,9.53,299.93,14,523,520,2,2,"SEA",5,0,15
"Fnatic.Ohaiyo`","Fnatic",7,8,4.25,3.53,3.67,12.07,222.27,2.33,434,425,3,2,"SEA",5,0,15
"Fnatic.Dj","Fnatic",7,8,2.81,3.13,5.27,11.67,75.33,1.47,271,289,4,2,"SEA",5,0,15
