"Player","Team","Wins","Losses","KDA","Kill","Death","Assists","LH","DN","GPM","XPM","Position","Inv_Status","Region","Tournament_Result","Changed_Teams","Total_Games"
"TSpirit.ALWAYSWANAMFLY","Team. Spirit",2,6,1.84,2.38,7.25,11,95.38,2.75,280,280,4,1,"EU",0,0,8
"TSpirit.Goblak","Team. Spirit",2,6,2.93,2.5,5.63,14,58,2.5,266,288,5,1,"EU",0,0,8
"House STARK","The Mongolz",3,5,3.16,7.63,4.63,7,270.38,11.13,541,490,1,1,"SEA",0,1,8
"SANKE STARK","The Mongolz",3,5,3.05,5.75,4.88,9.13,195.63,12.63,465,460,2,1,"SEA",0,1,8
"Masquerade","The Mongolz",3,5,2.35,3.63,6,10.5,138.88,2.5,380,391,3,1,"SEA",0,1,8
"Proxy STARK","The Mongolz",3,5,1.81,2.13,7.88,12.13,74.13,0.63,279,283,4,1,"SEA",0,1,8
"A.STARK","The Mongolz",3,5,1.91,2.5,7.13,11.13,27.5,2.75,253,274,5,1,"SEA",0,1,8
"Wings.????","the wings gaming",3,6,3.41,4.44,3.22,6.56,285.56,9.11,566,507,1,2,"CN",13,0,9
"Wings.shadow","the wings gaming",3,6,4.22,6.78,3,5.89,269.67,16.78,525,503,2,2,"CN",13,0,9
"Wings.Faith_bian","the wings gaming",3,6,2.1,2.78,5.67,9.11,168.22,3.67,372,376,3,2,"CN",13,0,9
"Wings.iceice","the wings gaming",3,6,1.81,1.56,5.89,9.11,77.67,2.67,267,312,4,2,"CN",13,0,9
"Wings.y`","the wings gaming",3,6,2.16,2.22,5,8.56,55.44,1.11,250,245,5,2,"CN",13,0,9
"Raven","TNC Pro Team",11,5,6.91,5.63,2,8.19,270.94,16.69,594,526,1,0,"SEA",0,0,16
"Teehee","TNC Pro Team",11,5,4.49,7.13,3.44,8.31,193.88,16.69,500,520,2,0,"SEA",0,0,16
"Sam H","TNC Pro Team",11,5,6.08,2.63,2.31,11.44,102.88,10.56,349,384,3,0,"SEA",0,0,16
"Eyyou","TNC Pro Team",11,5,4.4,2.88,3.44,12.25,69.94,3.06,314,338,4,0,"SEA",0,0,16
"TNC.Kuku","TNC Pro Team",11,5,3.31,3.44,4,9.81,51.06,2.63,291,309,5,0,"SEA",0,1,16
"uuu9","TongFu|",2,6,4.21,6.63,4.13,10.75,291.38,13.63,532,485,1,1,"CN",0,0,8
"TongFu.Lin","TongFu|",2,6,6.04,7.5,3,10.63,268.88,12.5,510,538,2,1,"CN",0,0,8
"TongFu.Faith","TongFu|",2,6,2.51,2.63,6.38,13.38,148.63,4.13,356,367,3,1,"CN",0,0,8
"lpc","TongFu|",2,6,2.38,3.38,6.25,11.5,79.38,0.88,286,281,4,1,"CN",0,0,8
"kabu","TongFu|",2,6,2.74,2.88,5.38,11.88,43,1,269,306,5,1,"CN",0,0,8
"Vega.fn","Vega Squadron",6,8,3.81,8.93,4.5,8.21,286.07,18.86,571,575,1,1,"EU",0,1,14
"Vega.No[o]ne-?","Vega Squadron",6,8,5.02,5.71,3.93,14,257.57,13.43,497,516,2,1,"EU",0,0,14
"Vega.Mag","Vega Squadron",6,8,4.45,3.64,3.64,12.57,202.79,3.71,447,478,3,1,"EU",0,0,14
"Vega.Solo","Vega Squadron",6,8,3.17,3.71,5.93,15.07,89.14,1.57,318,322,4,1,"EU",0,0,14
"Vega.CeMaTheSlayeR","Vega Squadron",6,8,3.44,3.86,5.07,13.57,53.43,1.43,277,304,5,1,"EU",0,0,14
"VG.Sylar","Vici Gaming",4,5,3.52,4.56,3.22,6.78,233.78,15.33,505,469,1,0,"CN",0,1,9
"VG.CTY","Vici Gaming",4,5,2.97,5,4.11,7.22,222,11.44,477,503,2,0,"CN",0,1,9
"VG.rOtk","Vici Gaming",4,5,1.66,2.33,6.22,8,125.11,4.89,332,299,3,0,"CN",0,1,9
"VG.BurNIng","Vici Gaming",4,5,2.91,2.56,3.56,7.78,50.44,2.78,275,259,4,0,"CN",0,0,9
"VG.hym","Vici Gaming",4,5,2.06,3.11,5.33,7.89,46.78,3.89,269,275,5,0,"CN",0,1,9
"VG.R.NoNo","Vici_Gaming Reborn",4,7,3.44,4.18,3.91,9.27,290.45,7.18,581,491,1,2,"CN",0,1,11
"VG.R.END","Vici_Gaming Reborn",4,7,6.35,7.09,2.36,7.91,272.27,14.91,512,467,2,2,"CN",0,1,11
"VG.R.Yang","Vici_Gaming Reborn",4,7,2.49,3.36,5.36,10,138.64,1.73,338,344,3,2,"CN",0,1,11
"VG.??.Fy","Vici_Gaming Reborn",4,7,2.57,2.45,5.09,10.64,53.82,1.36,248,267,4,2,"CN",0,1,11
"VG.R.ddc","Vici_Gaming Reborn",4,7,2.33,1.55,5,10.09,30,2.09,213,240,5,2,"CN",0,1,11
"VP.G","Virtus.pro",4,4,3.75,11.38,6.5,13,299.75,6.13,640,495,1,1,"EU",0,0,8
"VP.yoky","Virtus.pro",4,4,5.47,10,4.5,14.63,254.63,14,516,525,2,1,"EU",0,1,8
"VP.ALOHADANCE","Virtus.pro",4,4,2.45,3.63,9.25,19,76.63,2.5,325,354,3,1,"EU",0,1,8
"VP.Fng","Virtus.pro",4,4,2.59,2.75,7.88,17.63,77.63,2.88,323,406,4,1,"EU",0,0,8
"VP.Nofear","Virtus.pro",4,4,2.48,4.5,9.13,18.13,45.13,2.38,289,326,5,1,"EU",0,1,8
"Ah Jit","WarriorsGaming.Unity",5,3,7.55,8,2.5,10.88,294.88,15.38,640,652,1,1,"SEA",0,1,8
"`Timun???????","WarriorsGaming.Unity",5,3,6,8.63,2.75,7.88,229.38,22.75,597,594,2,1,"SEA",0,1,8
"Wenn.","WarriorsGaming.Unity",5,3,3.97,2.75,4,13.13,153.75,2.13,417,456,3,1,"SEA",0,1,8
"WG - ah fu - ??","WarriorsGaming.Unity",5,3,2.4,2.75,6.5,12.88,43.63,1.13,273,246,4,1,"SEA",0,1,8
"ZacKy?","WarriorsGaming.Unity",5,3,2.51,1.75,5.13,11.13,15,2.88,233,259,5,1,"SEA",0,1,8
